Cidade;Reprovados em %;RA (numérica)
BRASILIA;4.87;1
GAMA;6.30;2
TAGUATINGA;5.69;3
BRAZLANDIA;6.80;4
SOBRADINHO;7.51;5
PLANALTINA;9.50;6
PARANOA;8.39;7
NUCLEO BANDEIRANTE;5.48;8
CEILANDIA;6.64;9
GUARA;7.90;10
CRUZEIRO;6.41;11
SAMAMBAIA;6.51;12
SANTA MARIA;5.88;13
SAO SEBASTIAO;5.69;14
RECANTO DAS EMAS;7.77;15
LAGO SUL;5.91;16
RIACHO FUNDO;5.11;17
LAGO NORTE;6.23;18
CANDANGOLANDIA;8.30;19
AGUAS CLARAS;5.95;20
RIACHO FUNDO II;6.45;21
SUDOESTE - OCTOGONAL;4.56;22
VARJAO;5.45;23
PARK WAY;4.58;24
SCIA;8.79;25
SOBRADINHO II;6.45;26
JARDIM BOTANICO;4.45;27
ITAPOA;8.70;28
SIA;8.24;29
VICENTE PIRES;5.63;30
FERCAL;5.48;31
