i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,9,105
2022,Águas Claras,Vaginal,9,41
2022,Arniqueiras,Cesário,9,12
2022,Arniqueiras,Vaginal,9,4
2022,Brazlândia,Cesário,9,39
2022,Brazlândia,Vaginal,9,28
2022,Candangolândia,Cesário,9,8
2022,Candangolândia,Vaginal,9,14
2022,Ceilândia,Cesário,9,151
2022,Ceilândia,Vaginal,9,134
2022,Cruzeiro,Cesário,9,11
2022,Cruzeiro,Vaginal,9,6
2022,Fercal,Cesário,9,9
2022,Fercal,Vaginal,9,8
2022,Gama,Cesário,9,73
2022,Gama,Vaginal,9,32
2022,Guará,Cesário,9,76
2022,Guará,Vaginal,9,38
2022,Itapoã,Cesário,9,33
2022,Itapoã,Vaginal,9,35
2022,Jardim Botânico,Cesário,9,21
2022,Jardim Botânico,Vaginal,9,18
2022,Lago Norte,Cesário,9,17
2022,Lago Norte,Vaginal,9,9
2022,Lago Sul,Cesário,9,12
2022,Lago Sul,Vaginal,9,3
2022,Não Informado,Cesário,9,23
2022,Não Informado,Vaginal,9,17
2022,Núcleo Bandeirante,Cesário,9,6
2022,Núcleo Bandeirante,Vaginal,9,9
2022,Paranoá,Cesário,9,43
2022,Paranoá,Vaginal,9,30
2022,Park Way,Cesário,9,5
2022,Park Way,Vaginal,9,5
2022,Planaltina,Cesário,9,75
2022,Planaltina,Vaginal,9,97
2022,Plano Piloto,Cesário,9,99
2022,Plano Piloto,Vaginal,9,75
2022,Recanto das Emas,Cesário,9,48
2022,Recanto das Emas,Vaginal,9,57
2022,Riacho Fundo,Cesário,9,28
2022,Riacho Fundo,Vaginal,9,22
2022,Riacho Fundo II,Cesário,9,32
2022,Riacho Fundo II,Vaginal,9,13
2022,Samambaia,Cesário,9,104
2022,Samambaia,Vaginal,9,112
2022,Santa Maria,Cesário,9,70
2022,Santa Maria,Vaginal,9,71
2022,São Sebastião,Cesário,9,65
2022,São Sebastião,Vaginal,9,68
2022,SCIA/Estrutural,Cesário,9,18
2022,SCIA/Estrutural,Vaginal,9,27
2022,SIA,Cesário,9,1
2022,SIA,Vaginal,9,1
2022,Sobradinho,Cesário,9,30
2022,Sobradinho,Vaginal,9,26
2022,Sobradinho II,Cesário,9,43
2022,Sobradinho II,Vaginal,9,39
2022,Sol Nascente,Cesário,9,32
2022,Sol Nascente,Vaginal,9,43
2022,Sudoeste/Octogonal,Cesário,9,29
2022,Sudoeste/Octogonal,Vaginal,9,15
2022,Taguatinga,Cesário,9,112
2022,Taguatinga,Vaginal,9,59
2022,Varjão,Cesário,9,5
2022,Varjão,Vaginal,9,3
2022,Vicente Pires,Cesário,9,46
2022,Vicente Pires,Vaginal,9,24
2022,,Cesário,9,1
2022,,Vaginal,9,1
