i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,10,89
2022,Águas Claras,Vaginal,10,35
2022,Arniqueiras,Cesário,10,15
2022,Arniqueiras,Vaginal,10,9
2022,Brazlândia,Cesário,10,43
2022,Brazlândia,Vaginal,10,22
2022,Candangolândia,Cesário,10,13
2022,Candangolândia,Vaginal,10,5
2022,Ceilândia,Cesário,10,145
2022,Ceilândia,Vaginal,10,140
2022,Cruzeiro,Cesário,10,26
2022,Cruzeiro,Vaginal,10,9
2022,Fercal,Cesário,10,7
2022,Fercal,Vaginal,10,5
2022,Gama,Cesário,10,88
2022,Gama,Vaginal,10,44
2022,Guará,Cesário,10,78
2022,Guará,Vaginal,10,36
2022,Itapoã,Cesário,10,34
2022,Itapoã,Vaginal,10,20
2022,Jardim Botânico,Cesário,10,34
2022,Jardim Botânico,Vaginal,10,22
2022,Lago Norte,Cesário,10,21
2022,Lago Norte,Vaginal,10,7
2022,Lago Sul,Cesário,10,14
2022,Lago Sul,Vaginal,10,4
2022,Não Informado,Cesário,10,19
2022,Não Informado,Vaginal,10,17
2022,Núcleo Bandeirante,Cesário,10,12
2022,Núcleo Bandeirante,Vaginal,10,12
2022,Paranoá,Cesário,10,40
2022,Paranoá,Vaginal,10,32
2022,Park Way,Cesário,10,7
2022,Park Way,Vaginal,10,1
2022,Planaltina,Cesário,10,95
2022,Planaltina,Vaginal,10,90
2022,Plano Piloto,Cesário,10,100
2022,Plano Piloto,Vaginal,10,56
2022,Recanto das Emas,Cesário,10,65
2022,Recanto das Emas,Vaginal,10,86
2022,Riacho Fundo,Cesário,10,22
2022,Riacho Fundo,Vaginal,10,13
2022,Riacho Fundo II,Cesário,10,37
2022,Riacho Fundo II,Vaginal,10,18
2022,Samambaia,Cesário,10,153
2022,Samambaia,Vaginal,10,105
2022,Santa Maria,Cesário,10,88
2022,Santa Maria,Vaginal,10,58
2022,São Sebastião,Cesário,10,57
2022,São Sebastião,Vaginal,10,59
2022,SCIA/Estrutural,Cesário,10,24
2022,SCIA/Estrutural,Vaginal,10,29
2022,SIA,Cesário,10,1
2022,SIA,Vaginal,10,1
2022,Sobradinho,Cesário,10,31
2022,Sobradinho,Vaginal,10,28
2022,Sobradinho II,Cesário,10,38
2022,Sobradinho II,Vaginal,10,35
2022,Sol Nascente,Cesário,10,33
2022,Sol Nascente,Vaginal,10,52
2022,Sudoeste/Octogonal,Cesário,10,22
2022,Sudoeste/Octogonal,Vaginal,10,10
2022,Taguatinga,Cesário,10,116
2022,Taguatinga,Vaginal,10,68
2022,Varjão,Cesário,10,5
2022,Varjão,Vaginal,10,9
2022,Vicente Pires,Cesário,10,38
2022,Vicente Pires,Vaginal,10,30
2022,,Cesário,10,1
2022,,Vaginal,10,1
