i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,1,87
2022,Águas Claras,Vaginal,1,62
2022,Arniqueiras,Cesário,1,20
2022,Arniqueiras,Vaginal,1,6
2022,Brazlândia,Cesário,1,39
2022,Brazlândia,Vaginal,1,29
2022,Candangolândia,Cesário,1,8
2022,Candangolândia,Vaginal,1,7
2022,Ceilândia,Cesário,1,179
2022,Ceilândia,Vaginal,1,196
2022,Cruzeiro,Cesário,1,23
2022,Cruzeiro,Vaginal,1,10
2022,Fercal,Cesário,1,10
2022,Fercal,Vaginal,1,9
2022,Gama,Cesário,1,72
2022,Gama,Vaginal,1,51
2022,Guará,Cesário,1,86
2022,Guará,Vaginal,1,49
2022,Itapoã,Cesário,1,36
2022,Itapoã,Vaginal,1,38
2022,Jardim Botânico,Cesário,1,34
2022,Jardim Botânico,Não Informado,1,1
2022,Jardim Botânico,Vaginal,1,23
2022,Lago Norte,Cesário,1,12
2022,Lago Norte,Vaginal,1,10
2022,Lago Sul,Cesário,1,12
2022,Lago Sul,Vaginal,1,9
2022,Não Informado,Cesário,1,19
2022,Não Informado,Vaginal,1,11
2022,Núcleo Bandeirante,Cesário,1,15
2022,Núcleo Bandeirante,Vaginal,1,14
2022,Paranoá,Cesário,1,42
2022,Paranoá,Vaginal,1,40
2022,Park Way,Cesário,1,12
2022,Park Way,Vaginal,1,6
2022,Planaltina,Cesário,1,78
2022,Planaltina,Vaginal,1,131
2022,Plano Piloto,Cesário,1,124
2022,Plano Piloto,Vaginal,1,63
2022,Recanto das Emas,Cesário,1,62
2022,Recanto das Emas,Não Informado,1,1
2022,Recanto das Emas,Vaginal,1,74
2022,Riacho Fundo,Cesário,1,41
2022,Riacho Fundo,Vaginal,1,25
2022,Riacho Fundo II,Cesário,1,23
2022,Riacho Fundo II,Vaginal,1,26
2022,Samambaia,Cesário,1,132
2022,Samambaia,Vaginal,1,131
2022,Santa Maria,Cesário,1,85
2022,Santa Maria,Vaginal,1,61
2022,São Sebastião,Cesário,1,73
2022,São Sebastião,Vaginal,1,74
2022,SCIA/Estrutural,Cesário,1,20
2022,SCIA/Estrutural,Vaginal,1,22
2022,SIA,Cesário,1,1
2022,SIA,Vaginal,1,1
2022,Sobradinho,Cesário,1,56
2022,Sobradinho,Vaginal,1,31
2022,Sobradinho II,Cesário,1,42
2022,Sobradinho II,Vaginal,1,37
2022,Sol Nascente,Cesário,1,37
2022,Sol Nascente,Vaginal,1,57
2022,Sudoeste/Octogonal,Cesário,1,40
2022,Sudoeste/Octogonal,Vaginal,1,17
2022,Taguatinga,Cesário,1,113
2022,Taguatinga,Vaginal,1,63
2022,Varjão,Cesário,1,5
2022,Varjão,Vaginal,1,8
2022,Vicente Pires,Cesário,1,40
2022,Vicente Pires,Vaginal,1,26
2022,,Cesário,1,4
