RA;Cidade;Ocorrencias
1;Brasília;4869
2;Gama;1145
3;Taguatinga;3127
4;Brazlândia;272
5;Sobradinho;379
6;Planaltina;1000
7;Paranoá;913
8;Núcleo Bandeirante;296
9;Ceilândia;4701
10;Guará;825
11;Cruzeiro;94
12;Samambaia;2753
13;Santa Maria;1236
14;São Sebastião;591
15;Recanto das Emas;1166
16;Lago Sul;69
17;Riacho Fundo;230
18;Lago Norte;119
19;Candangolândia;70
20;Águas Claras;582
21;Riacho Fundo 2;295
22;Sudoeste;147
23;Varjão do Torto;30
24;Park Way;33
25;Estrutural;455
26;Sobradinho 2;234
27;Jardim Botânico;23
28;Itapoã;666
29;SIA;215
30;Vicente Pires;292
31;Fercal;22
32;Sol Nascente/Pôr do Sol;509
33;Arniqueira;206
