RA;Cidade;Ocorrencias
1;Brasília;8
2;Gama;6
3;Taguatinga;17
4;Brazlândia;8
5;Sobradinho;3
6;Planaltina;22
7;Paranoá;9
8;Núcleo Bandeirante;4
9;Ceilândia;37
10;Guará;4
11;Cruzeiro;1
12;Samambaia;19
13;Santa Maria;17
14;São Sebastião;24
15;Recanto das Emas;23
16;Lago Sul;-
17;Riacho Fundo;4
18;Lago Norte;2
19;Candangolândia;3
20;Águas Claras;-
21;Riacho Fundo 2;5
22;Sudoeste;2
23;Varjão do Torto;2
24;Park Way;1
25;Estrutural;12
26;Sobradinho 2;9
27;Jardim Botânico;-
28;Itapoã;10
29;SIA;1
30;Vicente Pires;5
31;Fercal;4
32;Sol Nascente/Pôr do Sol;17
33;Arniqueira;6
